J0023+0923 AO 1.93 2.50 3.95 L L L 0.21 0.32 0.54 L L L −1.74
J0030+0451 AO 2.34 5.80 23.12 L L L 0.85 1.12 1.60 0.48 0.60 0.78 −1.39
J0340+4130 GB L L L 1.14 1.42 1.89 0.45 0.54 0.60 L L L −1.73
J0613−0200 GB L L L 5.45 6.66 8.12 1.81 2.17 2.48 L L L −2.00
J0636+5128 GB L L L 1.64 2.08 2.90 0.73 0.94 1.18 L L L −1.42
J0645+5158 GB L L L 0.47 0.76 2.02 0.17 0.29 0.86 L L L −1.72
J0740+6620 GB L L L 1.11 2.19 6.06 0.43 0.97 1.71 L L L −1.46
J0931−1902 GB L L L 1.41 1.90 2.60 0.60 0.84 1.24 L L L −1.46
J1012+5307 GB L L L 3.19 6.93 16.46 1.46 2.90 6.09 L L L −1.56
J1024−0719 GB L L L 1.43 2.92 7.48 0.74 1.36 2.56 L L L −1.37
J1125+7819 GB L L L 1.39 2.58 5.20 0.55 0.90 1.70 L L L −1.88
J1453+1902 AO 1.11 1.64 2.81 L L L 0.11 0.17 0.48 L L L −1.92
J1455−3330 GB L L L 1.42 2.28 5.03 0.45 0.73 1.51 L L L −2.04
J1600−3053 GB L L L 2.66 3.17 4.02 1.99 2.37 2.99 L L L −0.52
J1614−2230 GB L L L 2.02 2.68 3.51 0.79 1.11 1.53 L L L −1.58
J1640+2224 AO 4.20 6.31 11.33 L L L 0.24 0.54 1.26 L L L −2.08
J1643−1224 GB L L L 11.31 13.02 14.50 4.06 4.70 5.38 L L L −1.82
J1713+0747 AO L L L L L L 2.47 4.69 8.70 2.24 5.01 10.24 0.19
J1713+0747 GB L L L 3.39 6.14 12.12 2.02 4.32 8.43 L L L −0.63
J1738+0333 AO L L L L L L 0.37 0.48 0.82 0.26 0.43 0.65 −0.31
J1741+1351 AO 1.79 2.60 4.64 L L L 0.14 0.21 0.38 L L L −2.13
J1744−1134 GB L L L 2.94 5.29 10.48 0.98 1.96 4.74 L L L −1.77
J1747−4036 GB L L L 5.63 6.85 9.05 1.31 1.55 2.20 L L L −2.66
J1832−0836 GB L L L 3.14 3.65 4.23 0.90 1.11 1.35 L L L −2.13
J1853+1303 AO 3.13 4.71 7.11 L L L 0.24 0.43 0.59 L L L −2.03
B1855+09 AO 14.36 19.17 26.18 L L L 2.13 3.47 6.50 L L L −1.45
J1903+0327 AO L L L L L L 0.63 0.69 0.79 0.45 0.52 0.58 −0.79
J1909−3744 GB L L L 1.54 3.01 5.15 0.55 1.03 2.17 L L L −1.92
J1910+1256 AO L L L L L L 0.35 0.56 0.69 0.21 0.31 0.47 −1.66
J1911+1347 AO 2.10 2.93 4.16 L L L 0.51 0.86 1.26 L L L −1.04
J1918−0642 GB L L L 3.12 4.13 5.43 0.89 1.36 1.99 L L L −1.98
J1923+2515 AO 2.04 2.56 3.36 L L L 0.18 0.28 0.49 L L L −1.87
B1937+21 AO L L L L L L 9.14 12.44 16.56 3.24 4.72 6.25 −2.72
B1937+21 GB L L L 41.93 56.37 74.68 11.33 14.83 18.65 L L L −2.39
J1944+0907 AO 14.57 18.82 28.53 L L L 1.08 1.94 3.41 L L L −1.92
J1946+3417 AO L L L L L L 0.84 0.92 0.96 0.56 0.61 0.66 −1.15
B1953+29 AO 10.77 12.00 13.28 L L L 0.69 0.94 1.21 L L L −2.16
J2010−1323 GB L L L 1.20 1.63 2.12 0.50 0.71 0.92 L L L −1.49
J2017+0603 AO L L L L L L 0.22 0.32 0.46 0.21 0.31 0.42 −0.09
J2033+1734 AO 2.98 3.62 4.23 L L L 0.26 0.30 0.38 L L L −2.11
J2043+1711 AO 1.51 1.99 3.01 L L L 0.15 0.21 0.40 L L L −1.91
J2145−0750 GB L L L 5.10 14.25 38.84 1.69 4.86 12.15 L L L −1.92
J2214+3000 AO L L L L L L 0.28 0.38 0.70 0.20 0.35 0.51 −0.23
J2229+2643 AO 2.19 3.61 7.96 L L L 0.22 0.41 0.70 L L L −1.84
J2234+0611 AO 0.72 0.90 1.82 L L L 0.12 0.33 0.89 L L L −0.85
J2234+0944 AO L L L L L L 0.81 1.15 2.83 0.40 0.76 1.14 −1.16
J2302+4442 GB L L L 2.59 3.29 4.31 1.06 1.41 1.84 L L L −1.51
J2317+1439 AO 4.81 7.20 9.96 L L L 0.26 0.45 0.80 L L L −2.35
J2322+2057 AO 1.37 1.94 3.54 L L L 0.14 0.26 0.72 0.31 0.32 1.06 −1.70
