1 J0121+1 134.023 −47.946 2458890.0000000 17.77(9) 17.690(20) 22 ± 11 78 ± 8
2 B0301+19 161.135 −33.27 2458885.0868056 15.65677(35) 15.659(20) 4.7 ± 2.4
3 J0317+13 168.763 −36.04 2458896.0666782 12.90(4) 13.148(20) 6.1 ± 3.1
4 J0454+45 160.719 1.212 2459254.1541898 20.834(2) 20.854(20) 27 ± 14
5 J0613+3731 175.336 9.239 2459172.4285532 18.990(12) 18.986(20) 20 ± 10 72 ± 8
6 J0811+37 183.676 31.217 2458889.2889005 16.95(11) 17.124(20) 5.8 ± 2.9 70 ± 8
7 B0917+63 151.431 40.725 2458998.0402894 13.15423(18) 13.156(10) 13 ± 7 98 ± 8
8 J0928+30 195.838 45.915 2459255.3506944 21.95(9) 21.968(20) 3.6 ± 1.8
9 J0935+33 192.376 47.511 2459257.3396065 18.35(6) 18.34(20) 6.6 ± 3.3 73 ± 8
10 J1303+38 111.027 78.636 2459209.6177662 19.000(9) 19.012(20) 9 ± 4.5
11 J1426+52 93.88 59.233 2458885.5596644 25.37(2) 25.332(6) 34 ± 17 88 ± 8
12 J1628+4406 69.239 43.616 2458996.3402778 7.32981(2) 7.327(200) 6.9 ± 3.5
13 J1647+6608 97.18 37.034 2459101.0666782 22.55(7) 22.606(20) 15 ± 8
14 J1722+35 59.218 32.651 2459170.9000116 23.83(6) 23.876(20) 18 ± 9
15 B2020+28 68.863 −4.671 2459001.5048148 24.63109(18) 24.642(20) 24 ± 12
16 J2122+24 73.79 −17.973 2459175.0562616 8.500(5) 8.502(20) 24 ± 12
17 J2208+4056 92.574 −12.112 2458893.8576505 11.837(9) 11.851(6) 214 ± 107 101 ± 8
18 J2227+30 89.656 −22.815 2458888.8847222 19(2) 19.972(20) 16 ± 8
19 J2325–0530 75.579 −60.2 2459100.3459259 14.966(7) 14.958(20) 19 ± 10
20 J2336–01 84.424 −59.008 2459171.1598495 19.60(9) 19.624(20) 47 ± 24 202 ± 16
