Pulsar_Name DM Frequency1 / S1 Frequency2 / S2 Frequency3 / S3 Frequency4 / S4 α
J1843-0000 101.50 1278.75 / 4.55±0.05 1337.08 / 4.19±0.04 1400.29 / 3.92±0.04 1459.32 / 3.69±0.04 −1.57±0.11
J1843-0211 441.70 1278.75 / 1.62±0.05 1336.91 / 1.46±0.04 1400.29 / 1.34±0.03 1459.52 / 1.20±0.04 −2.18±0.30
J1843-0459 444.10 1278.75 / 2.38±0.05 1336.75 / 2.16±0.04 1400.29 / 1.80±0.04 1459.52 / 1.72±0.05 −2.71±0.24
J1843-0806 215.80 1277.34 / 0.57±0.04 1336.91 / 0.48±0.02 1400.04 / 0.42±0.02 1460.04 / 0.39±0.03 −2.75±0.65
J1844-0030 605.00 1276.90 / 0.55±0.05 1336.91 / 0.48±0.03 1400.04 / 0.43±0.02 1460.04 / 0.38±0.03 −2.81±0.75
J1844-0244 429.00 1278.75 / 1.50±0.06 1336.75 / 1.28±0.05 1400.29 / 1.32±0.05 1459.32 / 1.09±0.05 −1.89±0.44
J1844-0310 836.10 1277.11 / 1.09±0.11 1337.07 / 0.84±0.07 1400.04 / 0.82±0.06 1460.04 / 0.79±0.08 −2.14±0.98
J1845-0316 500.00 1277.04 / 0.54±0.08 1336.75 / 0.45±0.05 1400.45 / 0.44±0.04 1459.61 / 0.35±0.05 −2.66±1.33
J1845-0434 230.80 1277.39 / 2.67±0.07 1337.07 / 2.57±0.05 1400.04 / 2.34±0.04 1460.04 / 2.32±0.05 −1.18±0.24
J1845-0743 281.00 1278.75 / 4.03±0.04 1336.75 / 3.66±0.04 1400.29 / 3.44±0.03 1459.52 / 3.15±0.04 −1.79±0.11
J1846+0051 140.00 1275.45 / 0.36±0.04 1336.91 / 0.30±0.03 1400.04 / 0.26±0.02 1460.04 / 0.21±0.03 −3.75±1.12
J1847-0438 229.00 1276.31 / 0.68±0.03 1337.07 / 0.62±0.02 1400.04 / 0.55±0.02 1460.26 / 0.54±0.02 −1.87±0.37
J1847-0605 207.90 1278.75 / 1.27±0.05 1336.75 / 1.10±0.04 1400.29 / 1.01±0.04 1459.52 / 0.91±0.04 −2.50±0.40
J1848-1414 134.47 1277.56 / 0.70±0.04 1336.75 / 0.61±0.03 1400.60 / 0.55±0.02 1459.61 / 0.48±0.03 −2.66±0.57
J1849-0614 119.60 1274.49 / 0.86±0.04 1337.32 / 0.75±0.02 1400.04 / 0.64±0.02 1460.26 / 0.60±0.02 −2.76±0.39
J1850+0026 201.40 1278.75 / 1.81±0.05 1336.75 / 1.67±0.04 1400.29 / 1.51±0.03 1459.32 / 1.35±0.04 −2.21±0.26
J1851+0418 115.54 1278.20 / 2.43±0.08 1336.91 / 2.27±0.05 1400.03 / 1.96±0.05 1460.04 / 1.89±0.05 −2.09±0.29
J1852+0031 787.00 1278.50 / 6.11±0.12 1336.92 / 5.72±0.10 1400.45 / 5.60±0.09 1459.32 / 5.18±0.10 −1.12±0.19
J1852+0305 320.00 1276.95 / 0.27±0.04 1337.07 / 0.22±0.02 1400.04 / 0.18±0.02 1460.04 / 0.18±0.03 −3.27±1.41
J1852-0635 171.00 1278.75 / 13.44±0.06 1337.08 / 12.52±0.05 1400.29 / 11.97±0.05 1459.52 / 11.6±0.05 −1.09±0.05
J1853-0004 438.20 1278.75 / 1.37±0.07 1336.75 / 0.99±0.06 1400.29 / 0.98±0.05 1459.52 / 0.75±0.07 −4.01±0.65
J1853+0545 198.70 1278.75 / 3.18±0.06 1337.08 / 2.95±0.05 1400.29 / 2.82±0.05 1459.96 / 2.78±0.05 −1.02±0.19
J1855+0307 402.50 1278.75 / 0.75±0.03 1336.99 / 0.65±0.02 1400.29 / 0.62±0.02 1459.52 / 0.57±0.03 −1.93±0.42
J1855-0941 151.99 1278.27 / 1.48±0.06 1336.91 / 1.24±0.04 1400.20 / 1.01±0.04 1460.04 / 0.89±0.04 −3.94±0.41
J1856+0404 341.30 1278.01 / 0.49±0.05 1336.91 / 0.42±0.03 1399.87 / 0.38±0.03 1460.04 / 0.33±0.04 −2.61±1.04
J1900-0051 136.80 1278.16 / 0.56±0.04 1336.75 / 0.46±0.03 1400.60 / 0.43±0.02 1459.61 / 0.39±0.03 −2.63±0.70
J1901+0254 185.00 1277.33 / 1.22±0.06 1337.07 / 1.15±0.04 1400.04 / 1.07±0.04 1460.04 / 1.00±0.05 −1.50±0.45
J1901+0413 352.00 1278.75 / 1.21±0.06 1337.08 / 1.21±0.04 1400.29 / 1.05±0.03 1459.72 / 0.98±0.04 −1.94±0.44
J1902+0615 502.90 1278.75 / 2.22±0.03 1336.91 / 1.82±0.02 1400.29 / 1.62±0.02 1459.32 / 1.43±0.02 −3.27±0.15
J1904+0800 438.80 1278.31 / 0.50±0.05 1336.91 / 0.47±0.03 1400.03 / 0.47±0.03 1460.04 / 0.45±0.04 −0.61±0.83
J1904+1011 135.00 1277.44 / 0.54±0.04 1336.75 / 0.55±0.03 1400.45 / 0.47±0.03 1459.61 / 0.46±0.03 −1.65±0.69
J1904-1224 118.23 1277.53 / 0.43±0.03 1336.91 / 0.35±0.02 1400.20 / 0.29±0.01 1460.04 / 0.25±0.02 −4.09±0.63
J1905-0056 229.13 1278.75 / 0.95±0.03 1336.75 / 0.83±0.02 1400.29 / 0.71±0.02 1459.52 / 0.69±0.02 −2.64±0.30
J1905+0600 730.10 1276.98 / 0.64±0.06 1336.91 / 0.53±0.04 1400.04 / 0.42±0.03 1460.04 / 0.43±0.04 −3.40±0.84
J1905+0616 256.05 1275.37 / 0.61±0.04 1337.07 / 0.52±0.03 1400.04 / 0.42±0.02 1460.04 / 0.42±0.03 −3.17±0.62
J1905+0709 245.34 1278.50 / 2.44±0.05 1336.75 / 2.04±0.04 1400.45 / 1.84±0.03 1459.11 / 1.75±0.04 −2.58±0.20
J1906+0641 472.80 1278.75 / 3.63±0.06 1336.75 / 3.35±0.05 1400.29 / 3.26±0.04 1459.32 / 3.13±0.05 −1.03±0.16
J1907+0249 261.00 1276.88 / 0.56±0.05 1336.91 / 0.46±0.03 1400.04 / 0.44±0.03 1460.04 / 0.41±0.04 −2.25±0.80
J1907+0740 332.00 1276.80 / 0.77±0.04 1336.75 / 0.62±0.03 1400.45 / 0.63±0.02 1459.61 / 0.57±0.03 −1.79±0.49
J1908+0457 360.00 1278.75 / 1.33±0.04 1336.75 / 1.15±0.03 1400.29 / 1.06±0.02 1459.32 / 0.89±0.03 −2.80±0.29
J1908+0500 201.42 1278.75 / 1.63±0.04 1336.75 / 1.37±0.03 1400.29 / 1.29±0.03 1459.32 / 1.17±0.03 −2.37±0.24
J1909+0254 171.73 1278.75 / 1.20±0.03 1336.75 / 1.07±0.02 1400.29 / 1.00±0.02 1459.32 / 0.86±0.02 −2.36±0.25
J1910+0225 209.00 1277.39 / 1.14±0.05 1337.07 / 1.03±0.03 1400.04 / 0.85±0.03 1460.04 / 0.79±0.03 −2.99±0.38
J1910+0714 124.06 1277.40 / 0.53±0.04 1336.91 / 0.46±0.02 1399.87 / 0.42±0.02 1460.04 / 0.37±0.03 −2.53±0.66
J1913+0446 109.10 1342.75 / 0.99±0.03 1400.04 / 0.91±0.03 1465.60 / 0.86±0.03 1518.49 / 0.76±0.04 −1.84±0.41
J1913+1000 422.00 1275.66 / 0.71±0.04 1337.07 / 0.65±0.02 1400.04 / 0.64±0.02 1460.04 / 0.56±0.03 −1.53±0.47
J1913+1011 178.80 1342.75 / 0.59±0.04 1400.18 / 0.52±0.04 1465.60 / 0.50±0.03 1516.38 / 0.42±0.04 −2.20±0.87
J1913+1145 637.00 1275.55 / 0.63±0.05 1336.91 / 0.55±0.03 1399.87 / 0.53±0.03 1460.04 / 0.48±0.03 −1.77±0.68
J1914+0219 233.80 1276.45 / 1.74±0.04 1337.61 / 1.57±0.03 1400.04 / 1.53±0.03 1460.04 / 1.47±0.03 −1.14±0.22
J1915+0227 192.60 1277.24 / 0.58±0.04 1337.07 / 0.40±0.03 1400.04 / 0.40±0.02 1460.04 / 0.36±0.03 −3.18±0.76
J1915+1606 168.77 1277.11 / 1.26±0.05 1337.07 / 1.00±0.03 1400.04 / 0.85±0.03 1460.04 / 0.83±0.03 −3.23±0.39
J1916+0844 339.40 1342.75 / 0.63±0.03 1399.76 / 0.61±0.02 1465.60 / 0.57±0.02 1513.92 / 0.54±0.03 −1.28±0.51
J1916+1023 329.80 1277.71 / 0.93±0.09 1336.91 / 0.80±0.06 1399.87 / 0.76±0.05 1460.04 / 0.74±0.06 −1.62±0.86
J1917+2224 134.93 1277.25 / 0.45±0.04 1337.24 / 0.42±0.03 1400.03 / 0.36±0.03 1460.04 / 0.35±0.03 −2.22±0.80
J1920+1040 304.00 1277.23 / 1.28±0.10 1336.91 / 1.12±0.06 1400.04 / 0.96±0.06 1460.04 / 0.82±0.07 −3.37±0.79
J1927+1856 99.00 1276.60 / 0.72±0.05 1336.91 / 0.56±0.03 1399.87 / 0.55±0.03 1460.04 / 0.49±0.04 −2.52±0.70
J1935+1745 214.60 1277.12 / 0.20±0.02 1336.91 / 0.18±0.01 1400.04 / 0.16±0.01 1460.04 / 0.13±0.02 −3.04±1.12
