J1804-2717∗ 6 9.34 24.6746(5) 40.0(2) 49(2) 15(3) 15(3) 1.8 1.4(2) −1.7(6) Lorimer et al. (1996)
J1804-2858∗ 11 1.49 232.528(2) −421(3) 7(2) −8(3) 5(3) 1.6 0.918(11) −1.26(7) Morello et al. (2019)
J1806+2819 6 15.1 18.78(2) −† <4.8 0(10) <21 35 0.090(11) −2.0(6) Kawash et al. (2018)
J1810-2005 6 32.8 240.72(4) −15.7(8) 9(2) 5(3) <5.7 30 1.73(4) −2.0(2) Camilo et al. (2001)
J1811-2405∗ 53 2.66 60.61997(6) 30.2(2) 27(2) −5(2) 5(2) 0.28 1.33(2) −1.82(6) Keith et al. (2010)
J1813-2621 6 4.43 122.4924(10) 142.2(3) 32(2) 17(3) 15(3) 3.0 0.584(8) −1.79(9) Faulkner et al. (2004)
J1821+0155 7 33.8 51.7660(4) 110.3(3) 33(2) 0.8(28) 4(3) 0.77 0.29(2) −2.8(4) Rosen et al. (2013)
J1825-0319∗ 36 4.55 119.5584(6) 179.9(2) 19(2) 35(4) 33(4) 1.9 0.183(2) −1.47(5) Burgay et al. (2013b)
J1826-2415 7 4.70 81.8625(11) 58(1)† 12(2) 1(5) <10.4 4.3 0.49(2) −1.4(2) Burgay et al. (2019)
J1828+0625 8 3.63 22.4331(12) 20(4)† 11(2) −8(5) 5(5) 1.7 0.32(3) −2.6(3) Ray et al. (2012)
J1829+2456 6 41.0 13.700(5) 0.3(6)† 68(2) 0.8(94) <19 17 0.037(4) −3.5(6) Champion et al. (2004)
J1832-0836∗ 16 2.72 28.19086(11) 41.7(8) 27(2) −0.9(39) 6(4) 0.33 0.92(4) −1.9(2) Burgay et al. (2013b)
J1835-0114 6 5.12 98.253(3) 115.5(6) 25(2) −21(7) 16(7) 5.3 0.373(8) −1.27(9) Eatough et al. (2009)
J1843-1113∗ 37 1.85 59.95797(13) 8.91(12) 34(2) 0.7(30) <6.1 0.36 0.56(2) −1.7(2) Hobbs et al. (2004)
J1843-1448∗ 6 5.47 114.5440(9) 256(6)† 6(2) 1(4) <8.8 4.6 0.486(6) −1.83(5) Faulkner et al. (2004)
J1844+0115 8 4.19 148.250(5) 30(2)† 16(3) 0(15) <30 10 0.094(3) −1.88(14) Crawford et al. (2012)
J1850+0124 7 3.56 118.88(2) −69(2) 35(2) 20(20) <30 1.8 0.188(3) −1.79(6) Crawford et al. (2012)
J1853+1303 7 4.09 30.5709(4) 77.5(2) 25(2) 4(3) 16(3) 0.67 0.50(4) −3.3(3) Faulkner et al. (2004)
J1855-1436 7 3.59 109.208(9) 140(30) 27(3) 0(20) <35 2.4 0.046(2) −2.95(14) Sanpa-arsa (2016)
J1857+0943 7 5.36 13.2992(2) 23.36(5) 14(2) −0.2(21) 4(2) 0.30 5.0(5) −2.4(4) Segelstein et al. (1986)
J1858-2216 6 2.38 26.641(5) −12(1) 37(3) 0(20) <33 7.9 0.057(7) −2.1(4) Sanpa-arsa (2016)
J1900+0308 7 4.91 249.86(2) 49(6)† 23(2) −30(10) 20(10) 18 0.140(3) −1.45(8) Crawford et al. (2012)
J1901+0300 7 7.80 253.747(11) −† <4.8 −10(10) <30 7.8 0.135(4) −1.66(12) Scholz et al. (2015)
J1902-5105∗ 40 1.74 36.2505(3) 13(2) 3(2) 2(2) 11(2) 0.26 1.01(2) −3.12(7) Kerr et al. (2012)
J1903+0327 7 2.15 297.483(3) 227(5)† 4(2) −13(6) 7(6) 1.9 0.600(11) −0.71(8) Champion et al. (2008)
J1903-7051∗ 54 3.60 19.6612(2) 17.6(2) 29(2) −7(2) 8(2) 0.60 0.96(5) −1.8(2) Camilo et al. (2015)
J1904+0451 7 6.09 182.76(2) −† 4(3) 0(20) <36 14 0.093(3) −2.25(12) Scholz et al. (2015)
J1906+0055 7 2.79 126.784(2) −† <5.1 10(10) <29 4.0 0.122(4) −2.33(13) Lazarus et al. (2015)
J1909-3744∗ 144 2.95 10.39077(4) −0.66(3) 52(2) 13(2) 14(2) 0.033 1.80(9) −1.7(2) Jacoby et al. (2003)
J1910+1256 6 4.98 38.0680(4) 54.4(2) 15(2) −0.5(38) 13(4) 0.82 0.66(4) −1.0(2) Faulkner et al. (2004)
J1911-1114∗ 6 3.63 30.9665(6) −28.0(5) 21(2) −4(3) 7(3) 0.88 1.00(7) −3.5(3) Lorimer et al. (1996)
J1914+0659 7 18.5 225.34(3) −† <4.3 7(7) <14.8 75 0.410(11) −1.31(11) Lazarus et al. (2015)
J1918-0642∗ 39 7.65 26.5888(3) −58.72(11) 19(2) −4(2) 5(2) 0.34 1.70(5) −2.06(12) Edwards & Bailes (2001b)
J1921+0137 6 2.50 104.9294(7) 91(2) 50(2) 0(12) <23 3.1 0.097(3) −2.72(14) Sanpa-arsa (2016)
J1921+1929 7 2.65 64.7638(11) 118.0(8) 29(2) 34(6) 34(6) 3.0 0.198(10) −2.7(3) Parent et al. (2019)
J1923+2515 6 3.79 18.860(2) 16(2) 17(2) −3(5) <9.0 1.3 0.202(14) −3.5(4) Lynch et al. (2013)
J1930+2441 6 5.77 69.582(2) 90.7(8)† 12(2) −17(10) 12(10) 10 0.103(2) −2.02(9) Parent et al. (2019)
J1932+1756 6 41.8 53.16(2) −† <5.5 0(18) <36 58 0.035(2) −2.3(2) Lazarus et al. (2015)
J1933-6211∗ 60 3.54 11.51476(12) 9.7(3) 13(2) −4(2) 8(2) 0.75 0.95(7) −1.7(4) Jacoby et al. (2007)
